,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
95599,Can Tho,25,22,13,ESE,0.5,76,58,1011,2014-01-09,Nam,Gió
95600,Can Tho,31,23,12,E,0.0,72,26,1012,2015-01-09,Nam,Nắng
95601,Can Tho,32,24,20,ESE,0.2,72,14,1013,2016-01-09,Nam,Nắng
95602,Can Tho,31,24,18,ESE,0.0,76,15,1008,2017-01-09,Nam,Nắng
95603,Can Tho,32,24,10,ESE,0.4,81,39,1011,2018-01-09,Nam,Nắng
95604,Can Tho,32,23,15,E,0.0,76,15,1013,2019-01-09,Nam,Nắng
95605,Can Tho,33,23,10,ESE,0.0,71,26,1010,2020-01-09,Nam,Nắng
95606,Can Tho,29,22,8,SE,0.0,74,36,1010,2021-01-09,Nam,Gió
95607,Can Tho,26,17,17,E,0.0,66,11,1014,2009-01-10,Nam,Lạnh
95608,Can Tho,30,24,9,E,1.1,74,54,1011,2010-01-10,Nam,Nắng
95609,Can Tho,31,21,8,S,0.0,68,23,1008,2011-01-10,Nam,Nắng
95610,Can Tho,31,23,12,NE,0.0,69,30,1011,2012-01-10,Nam,Nắng
95611,Can Tho,32,23,9,WSW,3.0,81,35,1010,2013-01-10,Nam,Nắng
95612,Can Tho,30,22,12,E,0.0,73,55,1012,2014-01-10,Nam,Nắng
95613,Can Tho,32,23,10,E,0.0,72,21,1011,2015-01-10,Nam,Nắng
95614,Can Tho,33,24,17,ESE,0.0,73,11,1013,2016-01-10,Nam,Nắng
95615,Can Tho,31,23,15,ESE,0.1,76,16,1009,2017-01-10,Nam,Nắng
95616,Can Tho,30,24,9,E,10.9,85,42,1012,2018-01-10,Nam,Nắng
95617,Can Tho,31,23,16,E,0.2,76,18,1012,2019-01-10,Nam,Nắng
95618,Can Tho,32,24,9,SE,0.0,69,34,1009,2020-01-10,Nam,Nắng
95619,Can Tho,29,21,7,SE,0.0,73,30,1010,2021-01-10,Nam,Lạnh
95620,Can Tho,26,18,15,E,0.0,67,30,1014,2009-01-11,Nam,Lạnh
95621,Can Tho,31,23,8,SE,1.5,76,33,1012,2010-01-11,Nam,Nắng
95622,Can Tho,32,21,7,SSW,0.0,67,12,1008,2011-01-11,Nam,Nắng
95623,Can Tho,30,23,12,NNE,0.0,74,47,1011,2012-01-11,Nam,Nắng
95624,Can Tho,32,23,11,E,3.0,78,22,1010,2013-01-11,Nam,Nắng
95625,Can Tho,32,22,10,E,0.0,71,33,1013,2014-01-11,Nam,Nắng
95626,Can Tho,32,23,8,ENE,5.0,77,28,1011,2015-01-11,Nam,Nắng
95627,Can Tho,32,23,9,ESE,0.1,75,41,1013,2016-01-11,Nam,Nắng
95628,Can Tho,31,23,11,ESE,6.9,79,41,1009,2017-01-11,Nam,Nắng
95629,Can Tho,32,23,7,NE,0.0,74,25,1012,2018-01-11,Nam,Nắng
95630,Can Tho,32,23,14,E,0.1,75,33,1012,2019-01-11,Nam,Nắng
95631,Can Tho,32,23,7,SSE,0.0,73,30,1009,2020-01-11,Nam,Nắng
95632,Can Tho,30,21,7,S,0.0,73,31,1010,2021-01-11,Nam,Nắng
