,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
36431,Thai Nguyen,26,20,7,SE,0.1,78,79,1016,2020-01-08,Bắc,Lạnh
36432,Thai Nguyen,8,6,10,NNE,0.0,55,90,1026,2021-01-08,Bắc,Lạnh
36457,Thai Nguyen,21,7,7,ENE,0.0,50,5,1028,2009-01-10,Bắc,Lạnh
36458,Thai Nguyen,23,14,7,ENE,1.3,89,65,1014,2010-01-10,Bắc,Mây
36459,Thai Nguyen,17,8,9,NE,0.0,55,49,1020,2011-01-10,Bắc,Lạnh
36460,Thai Nguyen,22,11,5,ESE,0.3,71,23,1022,2012-01-10,Bắc,Lạnh
36461,Thai Nguyen,15,11,7,NE,0.0,55,59,1021,2013-01-10,Bắc,Lạnh
36462,Thai Nguyen,19,12,5,E,0.7,73,75,1021,2014-01-10,Bắc,Lạnh
36463,Thai Nguyen,12,11,9,S,11.0,86,91,1025,2015-01-10,Bắc,Mây
36464,Thai Nguyen,27,19,8,ESE,6.8,82,47,1014,2016-01-10,Bắc,Lạnh
36465,Thai Nguyen,21,20,7,ESE,21.7,92,99,1015,2017-01-10,Bắc,Mây
36466,Thai Nguyen,15,12,5,E,0.0,51,79,1028,2018-01-10,Bắc,Lạnh
36467,Thai Nguyen,19,14,4,ENE,4.7,89,100,1019,2019-01-10,Bắc,Mây
36468,Thai Nguyen,25,20,8,SSE,1.4,81,71,1013,2020-01-10,Bắc,Mây
36469,Thai Nguyen,15,8,7,NE,0.0,30,44,1023,2021-01-10,Bắc,Lạnh
36470,Thai Nguyen,18,11,10,ENE,0.0,58,17,1029,2009-01-09,Bắc,Lạnh
36471,Thai Nguyen,21,14,7,SE,0.7,91,88,1014,2010-01-09,Bắc,Mây
36472,Thai Nguyen,15,11,10,NE,0.1,63,62,1022,2011-01-09,Bắc,Lạnh
36473,Thai Nguyen,18,11,9,ENE,0.8,71,65,1022,2012-01-09,Bắc,Lạnh
36474,Thai Nguyen,15,11,10,NE,0.3,59,57,1021,2013-01-09,Bắc,Lạnh
36475,Thai Nguyen,16,13,10,NE,0.6,65,88,1022,2014-01-09,Bắc,Lạnh
36476,Thai Nguyen,14,12,9,NNE,3.8,77,97,1025,2015-01-09,Bắc,Lạnh
36477,Thai Nguyen,25,19,13,ESE,13.3,85,85,1015,2016-01-09,Bắc,Mây
36478,Thai Nguyen,26,20,8,ESE,1.9,82,97,1014,2017-01-09,Bắc,Mây
36479,Thai Nguyen,16,9,10,NE,3.0,61,69,1025,2018-01-09,Bắc,Lạnh
36480,Thai Nguyen,14,12,5,NE,16.3,89,100,1021,2019-01-09,Bắc,Mây
36481,Thai Nguyen,26,21,7,SE,1.5,80,84,1014,2020-01-09,Bắc,Lạnh
36482,Thai Nguyen,13,8,7,ENE,0.0,35,65,1024,2021-01-09,Bắc,Lạnh
36483,Thai Nguyen,23,13,5,S,0.1,81,36,1018,2009-01-04,Bắc,Lạnh
36484,Thai Nguyen,24,16,7,SE,2.3,93,81,1011,2010-01-04,Bắc,Mây
36485,Thai Nguyen,16,10,8,NE,0.9,81,82,1019,2011-01-04,Bắc,Mây
36486,Thai Nguyen,9,8,13,NE,5.6,80,92,1025,2012-01-04,Bắc,Lạnh
36487,Thai Nguyen,11,8,9,NE,1.2,75,93,1021,2013-01-04,Bắc,Lạnh
36488,Thai Nguyen,24,15,6,ENE,0.0,59,24,1019,2014-01-04,Bắc,Lạnh
36489,Thai Nguyen,21,16,7,SE,0.7,85,67,1013,2015-01-04,Bắc,Mây
36490,Thai Nguyen,19,14,7,ESE,0.5,78,69,1017,2016-01-04,Bắc,Lạnh
36491,Thai Nguyen,26,19,5,S,0.0,75,35,1017,2017-01-04,Bắc,Lạnh
36492,Thai Nguyen,23,19,3,SE,2.8,91,100,1015,2018-01-04,Bắc,Mây
36493,Thai Nguyen,19,14,4,E,0.3,80,86,1023,2019-01-04,Bắc,Lạnh
36494,Thai Nguyen,23,19,8,SE,0.6,84,86,1018,2020-01-04,Bắc,Mây
36495,Thai Nguyen,21,13,5,S,0.0,55,29,1021,2021-01-04,Bắc,Lạnh
36496,Thai Nguyen,22,15,6,E,2.7,88,64,1019,2009-01-06,Bắc,Mây
36497,Thai Nguyen,17,15,10,NE,5.9,87,96,1017,2010-01-06,Bắc,Mây
36498,Thai Nguyen,17,10,12,NE,0.8,71,60,1023,2011-01-06,Bắc,Lạnh
36499,Thai Nguyen,15,10,7,NE,0.2,78,75,1023,2012-01-06,Bắc,Lạnh
36500,Thai Nguyen,15,9,8,NE,0.3,63,57,1020,2013-01-06,Bắc,Lạnh
36501,Thai Nguyen,21,16,10,SSE,0.9,87,78,1013,2014-01-06,Bắc,Mây
36502,Thai Nguyen,24,21,6,ESE,2.4,90,79,1013,2015-01-06,Bắc,Mây
36503,Thai Nguyen,25,19,7,SE,0.3,83,68,1017,2016-01-06,Bắc,Mây
36504,Thai Nguyen,24,19,4,NW,2.9,83,64,1014,2017-01-06,Bắc,Mây
36505,Thai Nguyen,21,19,6,SE,8.8,90,100,1012,2018-01-06,Bắc,Mây
36506,Thai Nguyen,21,17,5,E,0.4,77,100,1020,2019-01-06,Bắc,Lạnh
36507,Thai Nguyen,25,20,8,SE,0.6,78,93,1016,2020-01-06,Bắc,Lạnh
36508,Thai Nguyen,20,16,5,ENE,0.0,55,90,1019,2021-01-06,Bắc,Lạnh
36509,Thai Nguyen,21,6,7,NNE,0.0,45,7,1029,2009-01-14,Bắc,Lạnh
36510,Thai Nguyen,18,10,5,SE,0.0,68,33,1025,2010-01-14,Bắc,Lạnh
36511,Thai Nguyen,21,9,4,ESE,0.3,76,63,1017,2011-01-14,Bắc,Lạnh
36512,Thai Nguyen,20,16,2,SSE,8.9,89,96,1013,2012-01-14,Bắc,Mây
36513,Thai Nguyen,20,11,6,E,0.2,72,43,1017,2013-01-14,Bắc,Lạnh
36514,Thai Nguyen,20,7,7,NNE,0.0,58,1,1025,2014-01-14,Bắc,Lạnh
36515,Thai Nguyen,23,10,4,ESE,0.0,61,0,1023,2015-01-14,Bắc,Lạnh
36516,Thai Nguyen,19,16,7,ENE,4.4,85,100,1016,2016-01-14,Bắc,Mây
36517,Thai Nguyen,20,13,7,NE,0.0,71,85,1018,2017-01-14,Bắc,Lạnh
36518,Thai Nguyen,21,14,6,WSW,0.0,62,81,1021,2018-01-14,Bắc,Lạnh
36519,Thai Nguyen,23,20,6,ESE,1.7,88,83,1016,2019-01-14,Bắc,Mây
36520,Thai Nguyen,23,18,8,ESE,8.0,88,99,1014,2020-01-14,Bắc,Mây
36521,Thai Nguyen,22,11,4,ESE,0.0,49,11,1017,2021-01-14,Bắc,Lạnh
36522,Thai Nguyen,20,9,8,NNE,0.0,47,12,1028,2009-01-12,Bắc,Lạnh
36523,Thai Nguyen,13,10,8,ENE,3.3,80,69,1025,2010-01-12,Bắc,Lạnh
36524,Thai Nguyen,17,5,5,E,0.0,58,36,1019,2011-01-12,Bắc,Lạnh
36525,Thai Nguyen,20,12,5,E,3.4,81,76,1022,2012-01-12,Bắc,Mây
36526,Thai Nguyen,17,10,7,NNE,0.0,63,50,1021,2013-01-12,Bắc,Lạnh
36527,Thai Nguyen,15,12,11,NE,1.8,76,76,1024,2014-01-12,Bắc,Lạnh
36528,Thai Nguyen,20,9,8,NNE,0.3,74,14,1024,2015-01-12,Bắc,Lạnh
36529,Thai Nguyen,20,15,8,ENE,0.2,74,93,1019,2016-01-12,Bắc,Lạnh
36530,Thai Nguyen,14,11,14,NNE,26.8,89,100,1016,2017-01-12,Bắc,Mây
36531,Thai Nguyen,17,10,6,E,0.0,44,50,1026,2018-01-12,Bắc,Lạnh
36532,Thai Nguyen,23,18,5,ESE,1.1,86,88,1018,2019-01-12,Bắc,Mây
36533,Thai Nguyen,18,13,7,NNE,3.7,78,98,1016,2020-01-12,Bắc,Lạnh
36534,Thai Nguyen,19,9,6,WNW,0.0,39,32,1026,2021-01-12,Bắc,Lạnh
36535,Thai Nguyen,20,7,7,ENE,0.0,47,6,1031,2009-01-13,Bắc,Lạnh
36536,Thai Nguyen,14,11,6,ESE,0.0,70,61,1026,2010-01-13,Bắc,Lạnh
36537,Thai Nguyen,18,6,5,ESE,0.0,69,35,1017,2011-01-13,Bắc,Lạnh
36538,Thai Nguyen,21,12,4,SE,0.0,81,55,1018,2012-01-13,Bắc,Mây
36539,Thai Nguyen,23,9,5,ESE,0.0,68,4,1017,2013-01-13,Bắc,Lạnh
36540,Thai Nguyen,15,9,9,NE,0.4,68,62,1025,2014-01-13,Bắc,Lạnh
36541,Thai Nguyen,22,10,5,NNE,0.0,64,1,1023,2015-01-13,Bắc,Lạnh
36542,Thai Nguyen,19,15,8,ENE,1.3,79,100,1018,2016-01-13,Bắc,Lạnh
36543,Thai Nguyen,16,10,8,NE,7.0,79,90,1017,2017-01-13,Bắc,Lạnh
36544,Thai Nguyen,16,9,5,SE,0.0,54,51,1023,2018-01-13,Bắc,Lạnh
36545,Thai Nguyen,24,20,5,ESE,2.4,88,81,1017,2019-01-13,Bắc,Mây
36546,Thai Nguyen,21,16,4,SE,0.1,77,96,1015,2020-01-13,Bắc,Lạnh
36547,Thai Nguyen,20,11,5,ESE,0.0,39,17,1018,2021-01-13,Bắc,Lạnh
36548,Thai Nguyen,21,11,6,ESE,0.0,68,31,1022,2009-01-03,Bắc,Lạnh
36549,Thai Nguyen,20,15,6,ESE,0.7,89,72,1016,2010-01-03,Bắc,Mây
36550,Thai Nguyen,14,12,10,NE,2.1,87,97,1018,2011-01-03,Bắc,Mây
36551,Thai Nguyen,16,12,9,NE,5.5,86,94,1019,2012-01-03,Bắc,Mây
36552,Thai Nguyen,14,10,12,NE,3.3,79,87,1023,2013-01-03,Bắc,Lạnh
36553,Thai Nguyen,24,12,8,ENE,0.0,75,23,1017,2014-01-03,Bắc,Lạnh
36554,Thai Nguyen,22,13,6,SE,0.0,73,22,1019,2015-01-03,Bắc,Lạnh
36555,Thai Nguyen,24,16,6,SE,0.0,81,39,1018,2016-01-03,Bắc,Lạnh
36556,Thai Nguyen,27,19,3,SE,0.2,78,61,1019,2017-01-03,Bắc,Lạnh
36557,Thai Nguyen,23,17,4,ESE,1.4,86,90,1017,2018-01-03,Bắc,Mây
36558,Thai Nguyen,17,12,5,E,0.0,65,88,1025,2019-01-03,Bắc,Lạnh
36559,Thai Nguyen,24,20,8,SSE,0.9,81,84,1020,2020-01-03,Bắc,Mây
36560,Thai Nguyen,17,11,4,SE,0.0,61,53,1021,2021-01-03,Bắc,Lạnh
36561,Thai Nguyen,23,10,6,E,0.0,42,13,1027,2009-01-15,Bắc,Lạnh
36562,Thai Nguyen,21,12,6,ENE,0.5,78,59,1023,2010-01-15,Bắc,Lạnh
36563,Thai Nguyen,17,10,12,ENE,0.1,56,29,1024,2011-01-15,Bắc,Lạnh
36564,Thai Nguyen,22,17,6,E,17.6,89,78,1010,2012-01-15,Bắc,Mây
36565,Thai Nguyen,20,14,5,ESE,1.4,78,88,1019,2013-01-15,Bắc,Lạnh
36566,Thai Nguyen,21,8,6,E,0.0,51,1,1024,2014-01-15,Bắc,Lạnh
36567,Thai Nguyen,22,13,6,ESE,0.0,63,0,1022,2015-01-15,Bắc,Lạnh
36568,Thai Nguyen,19,15,10,ENE,1.1,78,97,1013,2016-01-15,Bắc,Lạnh
36569,Thai Nguyen,19,13,9,NE,0.0,74,81,1020,2017-01-15,Bắc,Lạnh
36570,Thai Nguyen,20,16,6,SE,0.6,76,99,1016,2018-01-15,Bắc,Lạnh
36571,Thai Nguyen,18,14,9,NE,4.9,84,100,1019,2019-01-15,Bắc,Mây
36572,Thai Nguyen,23,20,13,SSE,1.0,81,95,1014,2020-01-15,Bắc,Mây
36573,Thai Nguyen,24,13,5,SSE,0.0,68,10,1015,2021-01-15,Bắc,Lạnh
36574,Thai Nguyen,21,13,4,SE,0.3,88,64,1018,2009-01-18,Bắc,Mây
36575,Thai Nguyen,23,13,6,SE,0.0,77,11,1022,2010-01-18,Bắc,Lạnh
36576,Thai Nguyen,15,8,8,NE,0.4,66,74,1020,2011-01-18,Bắc,Lạnh
36577,Thai Nguyen,25,17,7,SE,1.1,87,72,1010,2012-01-18,Bắc,Mây
36578,Thai Nguyen,17,13,7,NE,1.4,80,74,1026,2013-01-18,Bắc,Lạnh
36579,Thai Nguyen,22,11,8,NE,0.0,57,6,1027,2014-01-18,Bắc,Lạnh
36580,Thai Nguyen,21,13,8,NE,0.0,57,13,1024,2015-01-18,Bắc,Lạnh
36581,Thai Nguyen,22,14,9,E,0.0,63,26,1016,2016-01-18,Bắc,Lạnh
36582,Thai Nguyen,21,15,5,E,0.2,80,92,1020,2017-01-18,Bắc,Lạnh
36583,Thai Nguyen,22,17,6,ESE,0.8,85,85,1015,2018-01-18,Bắc,Mây
36584,Thai Nguyen,21,11,6,ESE,0.0,70,68,1021,2019-01-18,Bắc,Lạnh
36585,Thai Nguyen,17,15,4,NE,1.1,82,99,1018,2020-01-18,Bắc,Mây
36586,Thai Nguyen,22,9,5,WNW,0.0,50,17,1024,2021-01-18,Bắc,Lạnh
36587,Thai Nguyen,24,10,6,SSE,0.0,68,3,1020,2009-01-17,Bắc,Lạnh
36588,Thai Nguyen,21,13,4,E,0.3,77,59,1025,2010-01-17,Bắc,Lạnh
36589,Thai Nguyen,18,6,7,ENE,0.0,51,37,1022,2011-01-17,Bắc,Lạnh
36590,Thai Nguyen,21,16,8,SE,1.2,84,64,1011,2012-01-17,Bắc,Mây
36591,Thai Nguyen,16,14,10,NE,10.5,86,92,1024,2013-01-17,Bắc,Mây
36592,Thai Nguyen,22,12,5,ESE,0.0,68,38,1024,2014-01-17,Bắc,Lạnh
36593,Thai Nguyen,22,13,7,ESE,0.0,62,15,1023,2015-01-17,Bắc,Lạnh
36594,Thai Nguyen,24,17,11,ESE,0.1,71,32,1013,2016-01-17,Bắc,Lạnh
36595,Thai Nguyen,18,15,8,NE,0.5,81,100,1020,2017-01-17,Bắc,Mây
36596,Thai Nguyen,21,18,6,ESE,1.4,86,98,1014,2018-01-17,Bắc,Mây
36597,Thai Nguyen,19,9,6,NE,0.0,71,45,1023,2019-01-17,Bắc,Lạnh
36598,Thai Nguyen,21,19,6,E,0.5,84,98,1018,2020-01-17,Bắc,Mây
36599,Thai Nguyen,17,7,10,SE,0.0,63,80,1025,2021-01-17,Bắc,Lạnh
36600,Thai Nguyen,21,7,5,ESE,0.0,44,4,1024,2009-01-11,Bắc,Lạnh
36601,Thai Nguyen,14,12,12,NE,7.2,87,99,1020,2010-01-11,Bắc,Mây
36602,Thai Nguyen,11,6,10,NE,0.8,65,59,1021,2011-01-11,Bắc,Lạnh
36603,Thai Nguyen,16,12,8,NE,6.4,80,48,1024,2012-01-11,Bắc,Lạnh
36604,Thai Nguyen,15,9,9,NE,1.1,64,91,1022,2013-01-11,Bắc,Lạnh
36605,Thai Nguyen,20,15,4,ENE,0.5,79,85,1021,2014-01-11,Bắc,Lạnh
36606,Thai Nguyen,14,11,7,ENE,12.2,87,71,1024,2015-01-11,Bắc,Mây
36607,Thai Nguyen,21,16,14,NE,0.8,77,46,1016,2016-01-11,Bắc,Lạnh
36608,Thai Nguyen,20,16,9,ENE,91.2,95,100,1014,2017-01-11,Bắc,Mây
36609,Thai Nguyen,17,12,6,SE,0.0,44,50,1027,2018-01-11,Bắc,Lạnh
36610,Thai Nguyen,24,17,4,ESE,0.4,85,87,1018,2019-01-11,Bắc,Mây
36611,Thai Nguyen,23,19,6,ESE,2.4,85,80,1013,2020-01-11,Bắc,Mây
36612,Thai Nguyen,12,10,10,SSE,0.0,38,67,1029,2021-01-11,Bắc,Lạnh
36613,Thai Nguyen,18,14,10,E,9.5,86,75,1019,2009-01-21,Bắc,Mây
36614,Thai Nguyen,20,19,4,WSW,71.5,97,96,1017,2010-01-21,Bắc,Mây
36615,Thai Nguyen,20,7,7,NE,0.0,57,31,1020,2011-01-21,Bắc,Lạnh
36616,Thai Nguyen,22,19,9,ESE,4.5,92,90,1011,2012-01-21,Bắc,Mây
36617,Thai Nguyen,25,19,6,SE,1.9,85,57,1018,2013-01-21,Bắc,Mây
